State,LGA,Election ID,Election Name,Election Date,Ward,Ward Code,Ward ID,Polling Unit,PU Code,PU ID,Polling Unit ID,Result Updated Time,Session,Ballots Issued,Ballots Used,Invalid Votes,Result Info PU,Total Accredited,Total Registered,Valid Votes,Image File,Image URL,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,BEDI FADA 'A',21/21/01/001,6a35d6f352574004bac51708,72741,,1781968281058,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72045/27d41383-cff0-410c-a5fe-098195598695.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,UNG. PANSI UBANDAWAKI,21/21/01/002,6a35d6f352574004bac51704,72742,1781968316511.0,1781968315824,635,54,0,6a36adbc52b6362accb5caac,54,635,54,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72046/a2f6bb12-9341-4e28-a25f-2298352fe2a9.jpg,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,UNG. JOJI,21/21/01/003,6a35d6f352574004bac51705,72743,,1781968252886,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72047/4fa27562-7198-4dd9-b6d9-779812c305fb.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,UNG. S/FAWA,21/21/01/004,6a35d6f352574004bac51702,72744,,1781976938217,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72048/efb9ce1b-c452-4cf4-8cc8-f22ff0a27180.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,UNG. G/TAMBARI,21/21/01/005,6a35d6f352574004bac51700,72745,,1781977070325,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72049/61e4c2c5-8f81-4a0f-87ab-593b3a38e17b.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,UNG. GARA,21/21/01/006,6a35d6f352574004bac5170a,72746,,1781968507479,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72050/3091af85-94a4-4934-acbd-6f1b41bf97a1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,KWANCI MANGA,21/21/01/007,6a35d6f352574004bac51703,72747,,1781972824581,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72051/21f962ac-5949-403c-9b5c-19af3f0dd1a7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,SOMDARO,21/21/01/008,6a35d6f352574004bac51709,72748,,1781977001150,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72052/434f0e4f-5290-4465-a6e8-3dbc21657476.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,GAMJI DAKO,21/21/01/009,6a35d6f352574004bac51707,72749,,1781976785520,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72053/ee6d79f4-f721-48d8-b8d9-26a5df9b2749.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,DOMO YUMU,21/21/01/010,6a35d6f352574004bac51701,72750,,1781977038858,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72054/3852d098-6d82-4dd0-8728-2ab7dd89ce5e.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,ZAGDERI,21/21/01/011,6a35d6f352574004bac5170b,72751,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,BEDI PADA B,21/21/01/012,6a35d6f352574004bac51706,72752,,1781972288584,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/72056/4940a1e0-a37b-4ae8-949b-bf85a4617a12.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kebbi,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,BEDI,01,5f0f3d4b8f77bb3acad0a25d,GOVT.DAY SES. SCH.  BEDI,21/21/01/013,6a35d6f352574004bac51713,154278,,1781968313694,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2990/22/468/5317/649565/788dad65-61dc-4617-93b6-c64a094043d2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
